original name,noised name,predicted first,predicted middle,predicted last
Willi Schrder,Willi Schder,Willie,,Schder
"Patrignani, Camilo A.","Patrignani, Xamilo A.",Xamilo,A,Patrignani
Ferid Chouchane,Ferid ChZuchane,Ferid,,Chuchane
Richard Jordan,Richardd Jordan,Jordan,,Richards
"Rossolimo, Amanda","ossolimo, Amanda",Amanda,,Oskolimo
"McWilliams, Terry","McWilliams, TIrry",Tirry,,Mcwilliams
"Linder, Christian","Linder, SChristian",Shristian,,Linder
Gustav Ingvar Rydell,Gustav Ingvar Ryd4ell,Gustar,Inga,Rydell
"Roman, Barbara","Roman, Barbarna",Barbarina,,Roman
"Ozbolt, Joe","Ozbollt, Joe",Joe,,Ozbollt
"Morales, Rufino","Morals, Rufino",Rufino,,Morals
"Langarica, Claudia","Langarica, Cludia",Cludia,,Langarica
"Hlavacek, Michael","HDavacek, Michael",Michael,,Davacek
Victor Rivera,Victor Rzivera,Victor,,Razivera
David A. Klarner,David A. Karner,David,A,Karner
"Grennan, Grainne M.","G9rennan, Grainne M.",Grainne,M,Girennan
Grard Denecheau,Grard DenecheSau,Grard,Deneche,Sau
"Aviles, Carmen","Avilevs, Carmen",Carmen,,Avileves
Carlos Lannes,Carlos Lanes,Carlos,,Lanes
Stig-Gran Johansson,Stig-Gran Johanssoon,Stigiran,,Johanssono
Mahoula Kramou,Mahojla Kramou,Mahojla,,Kramou
Beat Meister,Beat Meisrer,Beat,,Meisrer
"Sano, Hiroaki","Sano, iroaki",Iroaki,,Sano
Charlotte Ayanna,Charotte Ayanna,Ayanna,,Charotte
Kenta Kazuno,Kenta Kazun,Kenta,,Kazun
Norio Ito,Norio Io,Nori,,I
Tatyana Vasilyevna Ananko,Tatyana Vasilevna Ananko,Tatyana,Vasilliana,Anankou
"Tighe, Maureen","Tigh6, Maureen",Maureen,,Tight
"Sanchez, Ronald","Sanhez, Ronald",Ronald,,Sanez
Thomas B. Wilson,Tomas B. Wilson,Tomas,B,Wilson
Jeong Yong-Gyun,Jeong Yong-Gyyn,Jeong,Yong,Gyyn
Maria Lazarou,Jaria Lazarou,Jariar,,Lazarou
